datum,id,winners,total,amount
25.10.2019,43,0,825127,52634037
18.10.2019,42,0,830721,40480297
11.10.2019,41,0,867714,29507060
04.10.2019,40,0,743837,19371406
27.09.2019,39,0,727336,10000000
20.09.2019,38,1,898036,44648076
13.09.2019,37,0,952176,33064314
06.09.2019,36,0,709043,21940209
30.08.2019,35,0,682484,11906667
23.08.2019,34,1,1439024,90000000
16.08.2019,33,0,1343030,76448783
09.08.2019,32,0,872014,62050335
02.08.2019,31,0,768549,49259099
26.07.2019,30,0,762628,37882062
19.07.2019,29,0,693664,27690906
12.07.2019,28,0,615734,17979432
05.07.2019,27,0,552023,10000000
28.06.2019,26,1,772138,18927585
21.06.2019,25,0,630228,10000000
24.05.2019,21,0,850315,21843484
17.05.2019,20,0,766182,11997868
10.05.2019,19,2,1880503,90000000
03.05.2019,18,0,1307575,79263188
26.04.2019,17,0,1107524,64394505
19.04.2019,16,0,851018,51748067
12.04.2019,15,0,905071,40348093
05.04.2019,14,0,652928,29622854
29.03.2019,13,0,760568,19614132
22.03.2019,12,0,670058,10029078
15.03.2019,11,1,1113783,53423674
08.03.2019,10,0,804762,41023359
01.03.2019,9,0,895335,29863276
22.02.2019,8,0,670863,19742573
15.02.2019,7,0,648742,10277181
08.02.2019,6,1,1176169,63248942
01.02.2019,5,0,893159,50191532
25.01.2019,4,0,899970,38549639
21.12.2018,51,0,657965,10000000
14.12.2018,50,1,627985,10000000
07.12.2018,49,1,826217,33208147
30.11.2018,48,0,802185,22582415
23.11.2018,47,0,687586,12440223
16.11.2018,46,5,1566565,90000000
09.11.2018,45,0,1559985,90000000
02.11.2018,44,0,1384565,90000000
26.10.2018,43,0,1340467,90000000
19.10.2018,42,0,1265601,76248733
12.10.2018,41,0,891601,62122111
05.10.2018,40,0,938712,49850407
28.09.2018,39,0,742952,38885703
21.09.2018,38,0,688760,28710154
14.09.2018,37,0,703083,18997865
07.09.2018,36,0,679780,10000000
31.08.2018,35,2,1235343,61841617
24.08.2018,34,0,861368,49553877
17.08.2018,33,0,852889,38000000
20.07.2018,29,1,764473,22736890
13.07.2018,28,0,846885,10000000
06.07.2018,27,2,1807268,90000000
22.06.2018,25,0,1638435,90000000
15.06.2018,24,0,1653385,90000000
08.06.2018,23,0,1465411,90000000
01.06.2018,22,0,1685356,90000000
25.05.2018,21,0,1321179,90000000
18.05.2018,20,0,1182442,79773153
11.05.2018,19,0,905671,66061296
04.05.2018,18,0,925321,54318674
27.04.2018,17,0,647776,42000000
20.04.2018,16,0,727019,33731363
13.04.2018,15,0,681490,24755227
06.04.2018,14,0,705366,15955947
30.03.2018,13,0,734296,10000000
09.03.2018,10,1,1005720,42670719
02.03.2018,9,0,854970,32079119
23.02.2018,8,0,636392,22000000
16.02.2018,7,0,649719,10000000
09.02.2018,6,1,2101947,90000000
02.02.2018,5,0,1800492,90000000
26.01.2018,4,0,1512948,85083147
19.01.2018,3,0,1091855,68788211
12.01.2018,2,0,914481,55670817
05.01.2018,1,0,712889,44274829
29.12.2017,52,0,685303,35011368
22.12.2017,51,0,614913,27960866
15.12.2017,50,0,661259,21260895
08.12.2017,49,0,553467,15452209
01.12.2017,48,0,593816,10000000
24.11.2017,47,1,580124,10000000
17.11.2017,46,1,586517,10000000
10.11.2017,45,1,588252,23425614
03.11.2017,44,0,512988,15646906
27.10.2017,43,0,554942,10000000
20.10.2017,42,1,726112,41570497
13.10.2017,41,0,621395,31866787
06.10.2017,40,0,612752,22955962
29.09.2017,39,0,567858,15675866
22.09.2017,38,0,587934,10000000
15.09.2017,37,2,832238,30726699
08.09.2017,36,0,542784,22284170
25.08.2017,34,0,495596,10000000
18.08.2017,33,1,742750,47357065
11.08.2017,32,0,696123,38183064
04.08.2017,31,0,606875,29777085
28.07.2017,30,0,543187,21927076
21.07.2017,29,0,551471,15000000
14.07.2017,28,0,530103,10000000
07.07.2017,27,1,678335,46505019
30.06.2017,26,0,769576,37562586
23.06.2017,25,0,697446,29285164
16.06.2017,24,0,559672,21657638
09.06.2017,23,0,619962,15000000
02.06.2017,22,0,523582,10000000
26.05.2017,21,1,728548,50270035
19.05.2017,20,0,644216,41292212
12.05.2017,19,0,609032,32652094
05.05.2017,18,0,627211,24472692
28.04.2017,17,0,616284,16627078
21.04.2017,16,0,522380,10000000
14.04.2017,15,1,1053692,86970703
07.04.2017,14,0,1006833,73302171
