datum,stevilke
25.10.2019,2
25.10.2019,30
25.10.2019,34
25.10.2019,35
25.10.2019,45
18.10.2019,6
18.10.2019,9
18.10.2019,31
18.10.2019,43
18.10.2019,44
11.10.2019,8
11.10.2019,12
11.10.2019,13
11.10.2019,39
11.10.2019,44
04.10.2019,15
04.10.2019,19
04.10.2019,20
04.10.2019,45
04.10.2019,49
27.09.2019,21
27.09.2019,24
27.09.2019,26
27.09.2019,34
27.09.2019,47
20.09.2019,17
20.09.2019,21
20.09.2019,41
20.09.2019,48
20.09.2019,49
13.09.2019,3
13.09.2019,21
13.09.2019,22
13.09.2019,33
13.09.2019,47
06.09.2019,21
06.09.2019,24
06.09.2019,29
06.09.2019,30
06.09.2019,50
30.08.2019,10
30.08.2019,18
30.08.2019,32
30.08.2019,35
30.08.2019,46
23.08.2019,15
23.08.2019,18
23.08.2019,19
23.08.2019,41
23.08.2019,42
16.08.2019,7
16.08.2019,20
16.08.2019,35
16.08.2019,42
16.08.2019,44
09.08.2019,2
09.08.2019,4
09.08.2019,20
09.08.2019,21
09.08.2019,49
02.08.2019,6
02.08.2019,11
02.08.2019,38
02.08.2019,41
02.08.2019,44
26.07.2019,3
26.07.2019,8
26.07.2019,30
26.07.2019,46
26.07.2019,48
19.07.2019,31
19.07.2019,32
19.07.2019,45
19.07.2019,47
19.07.2019,49
12.07.2019,31
12.07.2019,36
12.07.2019,40
12.07.2019,42
12.07.2019,45
05.07.2019,1
05.07.2019,15
05.07.2019,34
05.07.2019,48
05.07.2019,50
28.06.2019,18
28.06.2019,25
28.06.2019,26
28.06.2019,35
28.06.2019,38
21.06.2019,20
21.06.2019,27
21.06.2019,37
21.06.2019,41
21.06.2019,45
24.05.2019,8
24.05.2019,26
24.05.2019,38
24.05.2019,47
24.05.2019,50
17.05.2019,20
17.05.2019,27
17.05.2019,33
17.05.2019,35
17.05.2019,46
10.05.2019,5
10.05.2019,7
10.05.2019,15
10.05.2019,19
10.05.2019,29
03.05.2019,3
03.05.2019,9
03.05.2019,10
03.05.2019,19
03.05.2019,42
26.04.2019,1
26.04.2019,6
26.04.2019,11
26.04.2019,17
26.04.2019,38
19.04.2019,18
19.04.2019,21
19.04.2019,37
19.04.2019,43
19.04.2019,47
12.04.2019,14
12.04.2019,16
12.04.2019,21
12.04.2019,30
12.04.2019,37
05.04.2019,22
05.04.2019,31
05.04.2019,43
05.04.2019,44
05.04.2019,50
29.03.2019,4
29.03.2019,9
29.03.2019,15
29.03.2019,24
29.03.2019,42
22.03.2019,15
22.03.2019,20
22.03.2019,24
22.03.2019,44
22.03.2019,49
15.03.2019,1
15.03.2019,2
15.03.2019,11
15.03.2019,19
15.03.2019,47
08.03.2019,4
08.03.2019,29
08.03.2019,30
08.03.2019,31
08.03.2019,45
01.03.2019,7
01.03.2019,16
01.03.2019,18
01.03.2019,19
01.03.2019,24
22.02.2019,14
22.02.2019,16
22.02.2019,21
22.02.2019,25
22.02.2019,26
15.02.2019,1
15.02.2019,24
15.02.2019,30
15.02.2019,31
15.02.2019,47
08.02.2019,5
08.02.2019,8
08.02.2019,21
08.02.2019,24
08.02.2019,26
01.02.2019,6
01.02.2019,29
01.02.2019,38
01.02.2019,45
01.02.2019,47
25.01.2019,24
25.01.2019,25
25.01.2019,28
25.01.2019,35
25.01.2019,48
21.12.2018,3
21.12.2018,16
21.12.2018,20
21.12.2018,34
21.12.2018,49
14.12.2018,4
14.12.2018,14
14.12.2018,24
14.12.2018,26
14.12.2018,30
07.12.2018,4
07.12.2018,16
07.12.2018,21
07.12.2018,31
07.12.2018,42
30.11.2018,18
30.11.2018,22
30.11.2018,35
30.11.2018,36
30.11.2018,41
23.11.2018,17
23.11.2018,22
23.11.2018,28
23.11.2018,31
23.11.2018,46
16.11.2018,13
16.11.2018,15
16.11.2018,18
16.11.2018,39
16.11.2018,45
09.11.2018,8
09.11.2018,32
09.11.2018,34
09.11.2018,46
09.11.2018,49
02.11.2018,5
02.11.2018,17
02.11.2018,27
02.11.2018,33
