Match 5 and 2 Euro Numbers,Match 5 and 1 Euro Number,Match 5,Match 4 and 2 Euro Numbers,Match 4 and 1 Euro Number,Match 4,Match 3 and 2 Euro Numbers,Match 2 and 2 Euro Numbers,Match 3 and 1 Euro Number,Match 3,Match 1 and 2 Euro Numbers,Match 2 and 1 Euro Number
0,6,5,40,670,1273,1907,29108,33493,59911,164813,533901
0,4,5,55,739,1359,2633,35746,34702,62326,164568,528584
0,2,5,71,823,1482,2383,35152,37090,66502,177122,547082
0,4,0,42,634,984,1720,26246,30981,48247,141637,493342
0,1,2,43,641,1097,2218,31649,30751,52050,165478,443406
1,6,5,44,683,1208,2408,40286,33319,58647,237826,523603
0,4,7,78,927,1691,3066,40991,41287,74286,208242,581597
0,1,6,35,578,1030,1733,26994,28576,49899,148058,452133
0,2,5,49,716,1218,1553,23224,30431,56381,124777,444128
1,8,6,74,1133,1968,3678,61412,53898,94531,340127,882188
0,1,4,77,1067,1651,4662,71004,50392,79439,385131,749602
0,2,8,50,844,1701,2002,30751,37570,77724,164590,556772
0,2,10,41,759,1446,1657,26115,33351,68476,141250,495442
0,6,2,34,649,1114,1769,27540,32131,53940,150838,494605
0,2,3,43,628,995,1853,27889,28248,46709,145565,441729
0,3,2,32,492,866,1502,23073,24109,40812,132090,392753
0,4,2,34,533,944,1333,19544,23746,44892,103346,357645
1,1,7,47,852,1363,2054,29780,35789,57338,147842,497064
0,3,5,26,576,961,1503,24530,24991,44015,136875,396743
0,4,8,62,707,1223,2992,43104,32478,53584,245206,470947
0,4,7,68,908,1269,2509,30645,38596,56624,156146,479406
2,11,18,149,2237,3625,6772,89603,85275,143271,419060,1130480
0,1,6,83,1304,2409,3827,50477,61084,107772,247865,832747
0,1,8,82,969,1804,3354,48974,45769,81387,262348,662828
0,3,9,58,809,1436,1876,29330,37330,64802,162186,553179
0,4,4,68,801,1500,2767,40898,37823,62912,218799,539495
0,2,7,33,596,1111,1579,23987,26827,51519,133326,413941
0,4,6,36,826,1366,1612,23375,36920,62053,120923,513447
0,0,7,42,523,926,1574,24083,27159,46033,134382,435329
1,6,10,99,1074,1674,3794,51546,48738,75019,253690,678132
0,4,7,53,682,1367,2059,30362,33174,59055,171324,506675
0,4,7,54,926,1974,2547,36390,41239,87184,176242,548768
0,1,2,34,615,1325,1415,21894,28665,57929,116166,442817
0,5,2,31,581,963,1496,23202,26792,45124,132963,417583
1,4,6,81,1255,2025,3116,42973,55929,86413,214934,769432
0,6,7,57,901,1413,1872,28873,39807,62643,162991,594589
0,3,4,59,691,1176,2907,43366,35325,57090,224171,535178
0,4,7,28,713,1311,1614,23115,28963,57685,123673,420852
1,3,11,36,595,1478,1556,20580,28647,65254,110665,399159
1,2,8,53,785,1427,2397,35345,34070,58182,189063,504884
0,3,1,45,749,1218,1912,28461,36370,54385,153245,525796
0,6,5,36,675,1277,1608,24432,29560,59410,131861,438716
5,6,10,83,1515,2423,3971,59734,68336,114718,311906,1003858
0,3,10,121,1475,2295,4383,64070,65527,105230,356979,959892
0,7,15,63,1588,3438,3116,44363,65209,139928,235787,891051
0,5,9,57,1306,2538,3159,46058,62243,127997,234078,863017
0,15,19,54,1555,2222,2957,41880,63467,91322,216577,845533
0,1,6,52,742,1332,2251,37028,34888,63032,210576,541693
0,4,8,88,893,1493,2838,40871,40660,64815,216385,570657
0,4,6,41,858,2115,1729,23764,32992,73835,124212,483396
0,3,5,33,606,1160,1674,24356,29093,58651,129638,443541
0,1,6,32,722,1265,1972,26757,31016,54728,146612,439972
0,3,10,42,745,1545,1809,25008,30269,62653,133214,424482
2,23,32,172,2068,3855,4858,55961,63099,105519,258765,740989
0,2,7,43,833,1644,2316,32153,39462,73697,165737,545474
0,5,5,45,878,1361,2246,30329,39737,59752,160574,557957
1,3,2,28,672,1099,1972,27242,35361,58022,144974,495097
0,2,3,51,839,1400,2528,35264,37217,62888,182796,523897
2,24,29,191,2239,4264,6554,79772,84568,137427,414050,1078148
0,11,20,93,1917,2817,4160,55962,77501,121233,291643,1083078
0,28,41,140,3383,6656,4438,54351,87027,168026,273714,1055581
0,5,13,89,1764,3703,3349,47103,68760,146021,252881,941723
0,3,13,119,1388,2416,5644,85289,66097,107953,444634,971800
0,4,11,83,1071,1834,3654,58490,51579,86930,335422,782101
0,4,7,60,1091,1831,3715,53615,49864,83385,282921,705949
0,3,14,57,1060,2235,2326,31008,42287,88705,161111,576865
0,5,5,54,810,1280,2911,43438,36852,60495,231220,548251
0,4,6,42,545,1280,1501,21369,27546,58772,114910,421801
0,3,7,48,729,1168,1967,28582,31401,50184,150904,462026
0,5,3,36,734,1338,1562,22144,31956,59936,112236,451540
0,1,2,34,700,1051,2514,33557,30261,48290,171334,417622
0,4,4,64,816,1239,2673,34670,33582,49652,161496,450096
1,6,6,150,1311,1898,4101,51537,44044,69914,252600,580152
0,4,4,61,707,1113,2712,36448,35950,57170,194201,526600
0,3,4,32,812,1579,1478,21106,29958,59733,111170,410517
